azimuth_deg,distance_m,rssi
45.5,0.16,169
45.7,0.16,170
45.9,0.163,167
46.1,0.163,170
46.3,0.165,169
46.5,0.169,169
46.7,0.174,164
46.9,0.176,164
47.1,0.179,162
47.3,0.178,165
47.5,0.181,164
47.7,0.184,163
47.9,0.187,163
48.1,0.19,161
48.3,0.198,155
48.5,0.199,159
48.7,0.2,157
48.9,0.199,158
49.1,0.216,155
49.3,0.225,155
49.5,0.256,145
49.7,0.26,148
49.9,0.279,144
50.1,0.291,143
50.3,0.319,137
50.5,0.334,133
50.7,0.367,126
50.9,0.383,124
51.1,0.392,123
51.3,0.413,118
51.5,0.418,121
51.7,0.428,122
51.9,0.431,122
52.1,0.44,121
52.3,0.45,118
52.5,0.459,112
52.7,0.459,112
52.9,0.463,112
53.1,0.466,113
53.3,0.469,112
53.5,0.469,110
53.7,0.477,107
53.9,0.531,97
54.5,0.762,62
54.7,0.789,54
54.9,0.787,59
55.1,0.802,49
55.3,0.789,45
55.5,0.71,63
55.7,0.709,71
55.9,0.699,74
56.1,0.683,82
56.3,0.67,88
56.5,0.688,79
56.7,0.681,82
56.9,0.68,84
57.1,0.668,89
57.3,0.673,87
57.5,0.684,78
57.7,0.719,69
57.9,0.699,72
58.1,0.705,66
58.5,3.005,17
58.7,3.003,10
62.5,0.145,159
62.7,0.136,171
62.9,0.133,172
63.1,0.131,177
63.3,0.135,176
63.5,0.132,180
63.7,0.13,182
63.9,0.132,181
64.1,0.135,181
64.3,0.135,182
64.5,0.134,182
64.7,0.135,182
64.9,0.132,183
65.1,0.134,183
65.3,0.135,182
65.5,0.134,182
65.7,0.134,181
65.9,0.135,181
66.1,0.133,180
66.3,0.132,180
66.5,0.131,181
66.7,0.134,179
66.9,0.134,175
67.1,0.133,175
67.3,0.131,173
67.5,0.129,168
67.7,0.123,165
67.9,3.209,41
68.1,3.203,42
68.3,3.195,42
68.5,3.189,43
68.7,3.184,43
68.9,3.178,44
69.1,3.173,44
69.3,3.164,45
69.5,3.16,45
69.7,3.154,46
69.9,3.149,46
70.1,3.14,46
70.3,3.136,47
70.5,3.129,47
70.7,3.123,47
70.9,3.117,48
71.1,3.111,48
71.3,3.106,48
71.5,3.1,49
71.7,3.092,49
71.9,3.087,50
72.1,3.081,50
72.3,3.075,50
72.5,3.067,50
72.7,3.059,44
72.9,3.053,41
73.1,3.053,47
73.3,3.049,50
73.5,3.049,51
73.7,3.042,47
73.9,3,42
74.1,2.978,43
74.3,2.974,45
74.5,2.979,40
74.7,2.983,35
74.9,2.968,34
75.3,2.944,47
75.5,2.946,45
75.9,2.965,38
76.1,2.975,33
76.7,0.097,162
76.9,0.119,166
77.1,0.109,168
77.3,0.118,161
77.7,0.124,160
77.9,0.113,164
78.5,0.108,164
78.7,2.987,38
79.1,0.114,165
79.3,0.111,167
79.5,0.118,160
79.7,0.11,159
79.9,0.116,164
80.1,0.132,159
80.3,0.121,161
80.7,0.122,164
80.9,0.106,172
81.1,0.1,176
81.3,0.1,178
81.5,0.101,179
81.7,0.103,181
81.9,0.106,184
82.1,0.102,186
82.3,0.1,187
82.5,0.102,187
82.7,0.106,187
82.9,0.105,189
83.1,0.103,188
83.3,0.1,189
83.5,0.1,190
83.7,0.1,190
83.9,0.1,190
84.1,0.101,190
84.3,0.1,190
84.5,0.099,190
84.7,0.099,191
84.9,0.101,189
85.1,0.102,190
85.3,0.102,187
85.5,0.103,187
85.7,0.101,187
85.9,0.099,185
86.1,0.1,185
86.3,0.103,183
86.5,0.099,181
86.7,0.102,179
86.9,0.1,177
87.1,0.106,170
87.7,2.443,45
87.9,2.366,32
88.1,2.358,32
88.3,2.356,32
88.5,2.355,32
88.7,2.354,33
88.9,2.356,32
89.1,2.349,31
89.3,2.314,30
89.5,2.301,31
89.7,2.297,31
89.9,2.294,31
90.1,2.294,31
90.3,2.298,31
90.5,2.296,31
90.7,2.295,31
90.9,2.298,31
91.1,2.3,31
91.3,2.295,31
91.5,2.292,31
92.1,0.104,165
92.3,0.102,170
92.5,0.099,173
92.7,0.099,173
92.9,0.103,174
93.1,0.101,176
93.3,0.1,176
93.5,0.103,175
93.7,0.103,178
93.9,0.105,174
94.1,0.101,174
94.3,0.104,175
94.5,0.1,178
94.7,0.102,176
94.9,0.104,174
95.1,0.104,173
95.3,0.093,175
95.5,0.098,175
95.7,0.095,173
95.9,0.102,168
96.3,2.25,31
96.5,2.249,31
96.7,2.248,32
96.9,2.247,32
97.1,2.248,32
97.3,2.247,32
97.5,2.246,32
97.7,2.248,32
97.9,2.246,33
98.1,2.244,32
98.3,2.243,33
98.5,2.244,33
98.7,2.244,33
98.9,2.244,33
99.1,2.241,33
99.3,2.241,33
99.5,2.24,33
99.7,2.241,33
99.9,2.244,33
100.1,2.257,30
100.3,2.295,30
100.5,2.301,30
100.7,2.299,31
100.9,2.298,31
101.1,2.296,32
101.3,2.293,32
101.5,2.292,32
101.7,2.294,32
101.9,2.303,32
102.9,2.751,40
103.3,2.425,41
103.5,2.409,41
103.7,2.403,45
103.9,2.364,49
104.1,2.34,51
104.3,2.328,49
104.5,2.331,46
104.7,2.349,45
104.9,2.417,45
105.3,2.817,50
105.5,2.867,57
105.7,2.86,49
105.9,2.827,39
106.1,2.822,37
106.3,2.875,51
106.5,2.902,58
106.7,2.892,50
106.9,2.852,37
107.1,2.838,35
107.3,2.876,45
107.5,2.869,44
107.7,2.84,35
107.9,2.838,34
108.1,2.887,45
108.3,2.91,53
108.5,2.92,58
108.7,2.923,58
108.9,2.924,58
109.1,2.922,57
109.3,2.905,50
109.5,2.878,39
109.7,2.859,32
109.9,2.892,40
110.1,2.922,50
110.3,2.918,44
110.5,2.883,33
110.7,2.916,39
110.9,2.942,51
111.1,2.949,53
111.3,2.927,39
111.5,2.877,31
111.7,2.93,39
111.9,2.953,52
112.1,2.944,49
112.3,2.865,43
112.5,2.844,41
112.7,2.844,42
112.9,2.848,42
113.1,2.877,48
113.3,2.939,51
113.5,2.959,39
113.9,2.871,29
114.1,2.842,29
114.3,2.817,29
114.5,2.807,29
114.7,2.809,28
114.9,2.837,29
115.1,2.92,36
115.3,2.963,44
115.5,2.994,50
115.7,3.008,54
115.9,3.014,54
116.1,3.014,54
116.7,2.608,37
116.9,2.544,34
117.1,2.539,37
117.3,2.547,37
117.9,2.88,29
118.1,2.852,29
118.3,2.831,29
118.5,2.822,28
118.7,2.822,28
118.9,2.851,30
119.1,2.904,33
119.3,2.934,33
120.1,2.583,35
120.3,2.584,38
120.5,2.623,44
120.9,3.087,30
121.1,3.06,24
121.5,3.13,32
121.7,3.123,32
121.9,3.07,30
122.3,2.83,34
122.5,2.816,35
122.7,2.792,35
122.9,2.777,35
123.1,2.763,35
123.3,2.747,34
123.5,2.731,34
123.7,2.718,35
123.9,2.704,35
124.1,2.693,34
124.3,2.682,34
124.5,2.669,35
124.7,2.659,35
124.9,2.651,36
125.1,2.644,38
125.3,2.644,39
125.5,2.645,39
125.7,2.641,39
125.9,2.639,40
126.1,2.637,39
126.3,2.634,39
126.5,2.634,39
126.7,2.636,38
126.9,2.638,37
127.1,2.641,38
127.3,2.643,40
127.5,2.645,40
127.7,2.647,39
127.9,2.649,42
128.1,2.651,45
